Local Authority,Specimen date,Cases (new),Cumulative cases,"Cumulative incidence per 100,000 population",Testing episodes (new),Cumulative testing episodes
Blaenau Gwent,16/10/2020,0,945,1352.7,1,15727
Blaenau Gwent,15/10/2020,2,945,1352.7,18,15726
Blaenau Gwent,14/10/2020,14,943,1349.8,74,15708
Blaenau Gwent,13/10/2020,21,929,1329.8,129,15634
Blaenau Gwent,12/10/2020,14,908,1299.7,127,15505
Blaenau Gwent,11/10/2020,12,894,1279.7,74,15378
Blaenau Gwent,10/10/2020,15,882,1262.5,84,15304
Blaenau Gwent,09/10/2020,18,867,1241,148,15220
Blaenau Gwent,08/10/2020,11,849,1215.3,237,15072
Blaenau Gwent,07/10/2020,24,838,1199.5,181,14835
Blaenau Gwent,06/10/2020,12,814,1165.2,182,14654
Blaenau Gwent,05/10/2020,6,802,1148,193,14472
Blaenau Gwent,04/10/2020,11,796,1139.4,81,14279
Blaenau Gwent,03/10/2020,15,785,1123.6,135,14198
Blaenau Gwent,02/10/2020,15,770,1102.2,193,14063
Blaenau Gwent,01/10/2020,6,755,1080.7,145,13870
Blaenau Gwent,30/09/2020,9,749,1072.1,209,13725
Blaenau Gwent,29/09/2020,8,740,1059.2,146,13516
Blaenau Gwent,28/09/2020,21,732,1047.8,229,13370
Blaenau Gwent,27/09/2020,15,711,1017.7,175,13141
Blaenau Gwent,26/09/2020,20,696,996.2,167,12966
Blaenau Gwent,25/09/2020,26,676,967.6,258,12799
Blaenau Gwent,24/09/2020,23,650,930.4,356,12541
Blaenau Gwent,23/09/2020,52,627,897.5,382,12185
Blaenau Gwent,22/09/2020,26,575,823.1,307,11803
Blaenau Gwent,21/09/2020,34,549,785.8,407,11496
Blaenau Gwent,20/09/2020,37,515,737.2,238,11089
Blaenau Gwent,19/09/2020,23,478,684.2,153,10851
Blaenau Gwent,18/09/2020,11,455,651.3,147,10698
Blaenau Gwent,17/09/2020,11,444,635.5,161,10551
Blaenau Gwent,16/09/2020,8,433,619.8,189,10390
Blaenau Gwent,15/09/2020,0,425,608.3,173,10201
Blaenau Gwent,14/09/2020,10,425,608.3,179,10028
Blaenau Gwent,13/09/2020,8,415,594,142,9849
Blaenau Gwent,12/09/2020,4,407,582.6,135,9707
Blaenau Gwent,11/09/2020,3,403,576.9,169,9572
Blaenau Gwent,10/09/2020,3,400,572.6,249,9403
Blaenau Gwent,09/09/2020,1,397,568.3,239,9154
Blaenau Gwent,08/09/2020,3,396,566.8,221,8915
Blaenau Gwent,07/09/2020,5,393,562.5,426,8694
Blaenau Gwent,06/09/2020,3,388,555.4,101,8268
Blaenau Gwent,05/09/2020,2,385,551.1,80,8167
Blaenau Gwent,04/09/2020,0,383,548.2,109,8087
Blaenau Gwent,03/09/2020,1,383,548.2,132,7978
Blaenau Gwent,02/09/2020,2,382,546.8,113,7846
Blaenau Gwent,01/09/2020,0,380,543.9,119,7733
Blaenau Gwent,31/08/2020,0,380,543.9,63,7614
Blaenau Gwent,30/08/2020,0,380,543.9,50,7551
Blaenau Gwent,29/08/2020,0,380,543.9,45,7501
Blaenau Gwent,28/08/2020,1,380,543.9,83,7456
Blaenau Gwent,27/08/2020,0,379,542.5,93,7373
Blaenau Gwent,26/08/2020,0,379,542.5,83,7280
Blaenau Gwent,25/08/2020,2,379,542.5,132,7197
Blaenau Gwent,24/08/2020,1,377,539.6,153,7065
Blaenau Gwent,23/08/2020,0,376,538.2,35,6912
Blaenau Gwent,22/08/2020,0,376,538.2,28,6877
Blaenau Gwent,21/08/2020,0,376,538.2,48,6849
Blaenau Gwent,20/08/2020,0,376,538.2,49,6801
Blaenau Gwent,19/08/2020,0,376,538.2,51,6752
Blaenau Gwent,18/08/2020,0,376,538.2,61,6701
Blaenau Gwent,17/08/2020,0,376,538.2,51,6640
Blaenau Gwent,16/08/2020,0,376,538.2,36,6589
Blaenau Gwent,15/08/2020,0,376,538.2,30,6553
Blaenau Gwent,14/08/2020,0,376,538.2,66,6523
Blaenau Gwent,13/08/2020,1,376,538.2,47,6457
Blaenau Gwent,12/08/2020,0,375,536.8,83,6410
Blaenau Gwent,11/08/2020,0,375,536.8,44,6327
Blaenau Gwent,10/08/2020,0,375,536.8,128,6283
Blaenau Gwent,09/08/2020,0,375,536.8,19,6155
Blaenau Gwent,08/08/2020,0,375,536.8,20,6136
Blaenau Gwent,07/08/2020,0,375,536.8,54,6116
Blaenau Gwent,06/08/2020,0,375,536.8,58,6062
Blaenau Gwent,05/08/2020,0,375,536.8,55,6004
Blaenau Gwent,04/08/2020,0,375,536.8,69,5949
Blaenau Gwent,03/08/2020,0,375,536.8,183,5880
Blaenau Gwent,02/08/2020,0,375,536.8,32,5697
Blaenau Gwent,01/08/2020,0,375,536.8,18,5665
Blaenau Gwent,31/07/2020,0,375,536.8,44,5647
Blaenau Gwent,30/07/2020,0,375,536.8,47,5603
Blaenau Gwent,29/07/2020,0,375,536.8,44,5556
Blaenau Gwent,28/07/2020,0,375,536.8,107,5512
Blaenau Gwent,27/07/2020,2,375,536.8,176,5405
Blaenau Gwent,26/07/2020,1,373,533.9,22,5229
Blaenau Gwent,25/07/2020,0,372,532.5,16,5207
Blaenau Gwent,24/07/2020,0,372,532.5,42,5191
Blaenau Gwent,23/07/2020,0,372,532.5,28,5149
Blaenau Gwent,22/07/2020,2,372,532.5,170,5121
Blaenau Gwent,21/07/2020,2,370,529.6,170,4951
Blaenau Gwent,20/07/2020,0,368,526.8,153,4781
Blaenau Gwent,19/07/2020,0,368,526.8,20,4628
Blaenau Gwent,18/07/2020,2,368,526.8,27,4608
Blaenau Gwent,17/07/2020,0,366,523.9,37,4581
Blaenau Gwent,16/07/2020,0,366,523.9,64,4544
Blaenau Gwent,15/07/2020,0,366,523.9,59,4480
Blaenau Gwent,14/07/2020,0,366,523.9,48,4421
Blaenau Gwent,13/07/2020,0,366,523.9,80,4373
Blaenau Gwent,12/07/2020,0,366,523.9,19,4293
Blaenau Gwent,11/07/2020,0,366,523.9,20,4274
Blaenau Gwent,10/07/2020,0,366,523.9,39,4254
Blaenau Gwent,09/07/2020,1,366,523.9,47,4215
Blaenau Gwent,08/07/2020,1,365,522.5,61,4168
Blaenau Gwent,07/07/2020,0,364,521,50,4107
Blaenau Gwent,06/07/2020,1,364,521,110,4057
Blaenau Gwent,05/07/2020,0,363,519.6,21,3947
Blaenau Gwent,04/07/2020,0,363,519.6,60,3926
Blaenau Gwent,03/07/2020,1,363,519.6,54,3866
Blaenau Gwent,02/07/2020,1,362,518.2,72,3812
Blaenau Gwent,01/07/2020,2,361,516.7,115,3740
Blaenau Gwent,30/06/2020,0,359,513.9,91,3625
Blaenau Gwent,29/06/2020,2,359,513.9,119,3534
Blaenau Gwent,28/06/2020,0,357,511,26,3415
Blaenau Gwent,27/06/2020,0,357,511,11,3389
Blaenau Gwent,26/06/2020,2,357,511,60,3378
Blaenau Gwent,25/06/2020,0,355,508.1,60,3318
Blaenau Gwent,24/06/2020,0,355,508.1,62,3258
Blaenau Gwent,23/06/2020,2,355,508.1,49,3196
Blaenau Gwent,22/06/2020,0,353,505.3,62,3147
Blaenau Gwent,21/06/2020,1,353,505.3,12,3085
Blaenau Gwent,20/06/2020,0,352,503.9,32,3073
Blaenau Gwent,19/06/2020,0,352,503.9,41,3041
Blaenau Gwent,18/06/2020,1,352,503.9,90,3000
Blaenau Gwent,17/06/2020,1,351,502.4,92,2910
Blaenau Gwent,16/06/2020,0,350,501,77,2818
Blaenau Gwent,15/06/2020,2,350,501,134,2741
Blaenau Gwent,14/06/2020,1,348,498.1,43,2607
Blaenau Gwent,13/06/2020,0,347,496.7,133,2564
Blaenau Gwent,12/06/2020,1,347,496.7,64,2431
Blaenau Gwent,11/06/2020,0,346,495.3,22,2367
Blaenau Gwent,10/06/2020,0,346,495.3,36,2345
Blaenau Gwent,09/06/2020,0,346,495.3,75,2309
Blaenau Gwent,08/06/2020,1,346,495.3,72,2234
Blaenau Gwent,07/06/2020,1,345,493.8,76,2162
Blaenau Gwent,06/06/2020,1,344,492.4,31,2086
Blaenau Gwent,05/06/2020,0,343,491,47,2055
Blaenau Gwent,04/06/2020,0,343,491,54,2008
Blaenau Gwent,03/06/2020,0,343,491,25,1954
Blaenau Gwent,02/06/2020,0,343,491,44,1929
Blaenau Gwent,01/06/2020,0,343,491,24,1885
Blaenau Gwent,31/05/2020,2,343,491,32,1861
Blaenau Gwent,30/05/2020,2,341,488.1,128,1829
Blaenau Gwent,29/05/2020,0,339,485.2,32,1701
Blaenau Gwent,28/05/2020,1,339,485.2,28,1669
Blaenau Gwent,27/05/2020,5,338,483.8,48,1641
Blaenau Gwent,26/05/2020,0,333,476.7,38,1593
Blaenau Gwent,25/05/2020,2,333,476.7,29,1555
Blaenau Gwent,24/05/2020,0,331,473.8,17,1526
Blaenau Gwent,23/05/2020,1,331,473.8,29,1509
Blaenau Gwent,22/05/2020,1,330,472.4,39,1480
Blaenau Gwent,21/05/2020,0,329,470.9,35,1441
Blaenau Gwent,20/05/2020,2,329,470.9,58,1406
Blaenau Gwent,19/05/2020,1,327,468.1,16,1348
Blaenau Gwent,18/05/2020,1,326,466.6,20,1332
Blaenau Gwent,17/05/2020,3,325,465.2,21,1312
Blaenau Gwent,16/05/2020,4,322,460.9,90,1291
Blaenau Gwent,15/05/2020,4,318,455.2,90,1201
Blaenau Gwent,14/05/2020,0,314,449.5,18,1111
Blaenau Gwent,13/05/2020,0,314,449.5,23,1093
Blaenau Gwent,12/05/2020,0,314,449.5,18,1070
Blaenau Gwent,11/05/2020,1,314,449.5,16,1052
Blaenau Gwent,10/05/2020,0,313,448,12,1036
Blaenau Gwent,09/05/2020,3,313,448,15,1024
Blaenau Gwent,08/05/2020,0,310,443.7,31,1009
Blaenau Gwent,07/05/2020,7,310,443.7,41,978
Blaenau Gwent,06/05/2020,4,303,433.7,24,937
Blaenau Gwent,05/05/2020,7,299,428,34,913
Blaenau Gwent,04/05/2020,1,292,418,17,879
Blaenau Gwent,03/05/2020,2,291,416.5,12,862
Blaenau Gwent,02/05/2020,9,289,413.7,57,850
Blaenau Gwent,01/05/2020,2,280,400.8,21,793
Blaenau Gwent,30/04/2020,2,278,397.9,19,772
Blaenau Gwent,29/04/2020,2,276,395.1,21,753
Blaenau Gwent,28/04/2020,2,274,392.2,25,732
Blaenau Gwent,27/04/2020,1,272,389.3,17,707
Blaenau Gwent,26/04/2020,2,271,387.9,9,690
Blaenau Gwent,25/04/2020,6,269,385,21,681
Blaenau Gwent,24/04/2020,5,263,376.5,23,660
Blaenau Gwent,23/04/2020,3,258,369.3,11,637
Blaenau Gwent,22/04/2020,8,255,365,25,626
Blaenau Gwent,21/04/2020,0,247,353.6,22,601
Blaenau Gwent,20/04/2020,7,247,353.6,17,579
Blaenau Gwent,19/04/2020,2,240,343.5,11,562
Blaenau Gwent,18/04/2020,9,238,340.7,24,551
Blaenau Gwent,17/04/2020,10,229,327.8,27,527
Blaenau Gwent,16/04/2020,10,219,313.5,27,500
Blaenau Gwent,15/04/2020,10,209,299.2,27,473
Blaenau Gwent,14/04/2020,9,199,284.8,19,446
Blaenau Gwent,13/04/2020,8,190,272,10,427
Blaenau Gwent,12/04/2020,2,182,260.5,11,417
Blaenau Gwent,11/04/2020,10,180,257.7,19,406
Blaenau Gwent,10/04/2020,5,170,243.3,9,387
Blaenau Gwent,09/04/2020,7,165,236.2,20,378
Blaenau Gwent,08/04/2020,15,158,226.2,25,358
Blaenau Gwent,07/04/2020,5,143,204.7,12,333
Blaenau Gwent,06/04/2020,16,138,197.5,20,321
Blaenau Gwent,05/04/2020,4,122,174.6,10,301
Blaenau Gwent,04/04/2020,12,118,168.9,21,291
Blaenau Gwent,03/04/2020,9,106,151.7,22,270
Blaenau Gwent,02/04/2020,8,97,138.8,20,248
Blaenau Gwent,01/04/2020,6,89,127.4,17,228
Blaenau Gwent,31/03/2020,15,83,118.8,22,211
Blaenau Gwent,30/03/2020,9,68,97.3,20,189
Blaenau Gwent,29/03/2020,5,59,84.5,14,169
Blaenau Gwent,28/03/2020,3,54,77.3,10,155
Blaenau Gwent,27/03/2020,5,51,73,12,145
Blaenau Gwent,26/03/2020,6,46,65.8,15,133
Blaenau Gwent,25/03/2020,5,40,57.3,19,118
Blaenau Gwent,24/03/2020,4,35,50.1,10,99
Blaenau Gwent,23/03/2020,3,31,44.4,11,89
Blaenau Gwent,22/03/2020,3,28,40.1,5,78
Blaenau Gwent,21/03/2020,2,25,35.8,12,73
Blaenau Gwent,20/03/2020,8,23,32.9,17,61
Blaenau Gwent,19/03/2020,2,15,21.5,8,44
Blaenau Gwent,18/03/2020,1,13,18.6,4,36
Blaenau Gwent,17/03/2020,2,12,17.2,3,32
Blaenau Gwent,16/03/2020,1,10,14.3,4,29
Blaenau Gwent,15/03/2020,3,9,12.9,6,25
Blaenau Gwent,14/03/2020,1,6,8.6,2,19
Blaenau Gwent,13/03/2020,3,5,7.2,5,17
Blaenau Gwent,12/03/2020,1,2,2.9,7,12
Blaenau Gwent,11/03/2020,1,1,1.4,2,5
Blaenau Gwent,10/03/2020,0,0,0,0,3
Blaenau Gwent,09/03/2020,0,0,0,0,3
Blaenau Gwent,08/03/2020,0,0,0,0,3
Blaenau Gwent,07/03/2020,0,0,0,0,3
Blaenau Gwent,06/03/2020,0,0,0,0,3
Blaenau Gwent,05/03/2020,0,0,0,0,3
Blaenau Gwent,04/03/2020,0,0,0,0,3
Blaenau Gwent,03/03/2020,0,0,0,0,3
Blaenau Gwent,02/03/2020,0,0,0,0,3
Blaenau Gwent,01/03/2020,0,0,0,0,3
Blaenau Gwent,29/02/2020,0,0,0,0,3
Blaenau Gwent,28/02/2020,0,0,0,0,3
Blaenau Gwent,27/02/2020,0,0,0,3,3
Blaenau Gwent,26/02/2020,0,0,0,0,0
Blaenau Gwent,25/02/2020,0,0,0,0,0
Blaenau Gwent,24/02/2020,0,0,0,0,0
Blaenau Gwent,23/02/2020,0,0,0,0,0
Blaenau Gwent,22/02/2020,0,0,0,0,0
Blaenau Gwent,21/02/2020,0,0,0,0,0
Blaenau Gwent,20/02/2020,0,0,0,0,0
Blaenau Gwent,19/02/2020,0,0,0,0,0
Blaenau Gwent,18/02/2020,0,0,0,0,0
Blaenau Gwent,17/02/2020,0,0,0,0,0
Blaenau Gwent,16/02/2020,0,0,0,0,0
Blaenau Gwent,15/02/2020,0,0,0,0,0
Blaenau Gwent,14/02/2020,0,0,0,0,0
Blaenau Gwent,13/02/2020,0,0,0,0,0
Blaenau Gwent,12/02/2020,0,0,0,0,0
Blaenau Gwent,11/02/2020,0,0,0,0,0
Blaenau Gwent,10/02/2020,0,0,0,0,0
Blaenau Gwent,09/02/2020,0,0,0,0,0
Blaenau Gwent,08/02/2020,0,0,0,0,0
Blaenau Gwent,07/02/2020,0,0,0,0,0
Blaenau Gwent,06/02/2020,0,0,0,0,0
Blaenau Gwent,05/02/2020,0,0,0,0,0
Blaenau Gwent,04/02/2020,0,0,0,0,0
Blaenau Gwent,03/02/2020,0,0,0,0,0
Bridgend,16/10/2020,0,1569,1067,0,31194
Bridgend,15/10/2020,3,1569,1067,21,31194
Bridgend,14/10/2020,23,1566,1065,169,31173
Bridgend,13/10/2020,42,1543,1049.3,301,31004
Bridgend,12/10/2020,51,1501,1020.7,366,30703
Bridgend,11/10/2020,32,1450,986.1,186,30337
Bridgend,10/10/2020,36,1418,964.3,233,30151
Bridgend,09/10/2020,41,1382,939.8,342,29918
Bridgend,08/10/2020,58,1341,911.9,487,29576
Bridgend,07/10/2020,40,1283,872.5,466,29089
Bridgend,06/10/2020,35,1243,845.3,422,28623
Bridgend,05/10/2020,36,1208,821.5,415,28201
Bridgend,04/10/2020,29,1172,797,227,27786
Bridgend,03/10/2020,21,1143,777.3,215,27559
Bridgend,02/10/2020,33,1122,763,361,27344
Bridgend,01/10/2020,30,1089,740.6,382,26983
Bridgend,30/09/2020,35,1059,720.2,507,26601
Bridgend,29/09/2020,26,1024,696.4,462,26094
Bridgend,28/09/2020,28,998,678.7,491,25632
Bridgend,27/09/2020,15,970,659.6,213,25141
Bridgend,26/09/2020,28,955,649.4,264,24928
Bridgend,25/09/2020,20,927,630.4,599,24664
Bridgend,24/09/2020,17,907,616.8,386,24065
Bridgend,23/09/2020,30,890,605.2,476,23679
Bridgend,22/09/2020,31,860,584.8,435,23203
Bridgend,21/09/2020,21,829,563.8,377,22768
Bridgend,20/09/2020,19,808,549.5,226,22391
Bridgend,19/09/2020,25,789,536.6,275,22165
Bridgend,18/09/2020,21,764,519.6,406,21890
Bridgend,17/09/2020,26,743,505.3,443,21484
Bridgend,16/09/2020,13,717,487.6,394,21041
Bridgend,15/09/2020,19,704,478.8,410,20647
Bridgend,14/09/2020,16,685,465.8,393,20237
Bridgend,13/09/2020,4,669,455,237,19844
Bridgend,12/09/2020,9,665,452.2,284,19607
Bridgend,11/09/2020,11,656,446.1,440,19323
Bridgend,10/09/2020,2,645,438.6,338,18883
Bridgend,09/09/2020,10,643,437.3,452,18545
Bridgend,08/09/2020,5,633,430.5,294,18093
Bridgend,07/09/2020,3,628,427.1,283,17799
Bridgend,06/09/2020,3,625,425,134,17516
Bridgend,05/09/2020,5,622,423,212,17382
Bridgend,04/09/2020,4,617,419.6,363,17170
Bridgend,03/09/2020,9,613,416.9,442,16807
Bridgend,02/09/2020,1,604,410.7,503,16365
Bridgend,01/09/2020,3,603,410.1,488,15862
Bridgend,31/08/2020,4,600,408,158,15374
Bridgend,30/08/2020,8,596,405.3,123,15216
Bridgend,29/08/2020,1,588,399.9,106,15093
Bridgend,28/08/2020,1,587,399.2,163,14987
Bridgend,27/08/2020,1,586,398.5,160,14824
Bridgend,26/08/2020,2,585,397.8,197,14664
Bridgend,25/08/2020,4,583,396.5,164,14467
Bridgend,24/08/2020,1,579,393.7,177,14303
Bridgend,23/08/2020,0,578,393.1,63,14126
Bridgend,22/08/2020,0,578,393.1,121,14063
Bridgend,21/08/2020,0,578,393.1,137,13942
Bridgend,20/08/2020,0,578,393.1,144,13805
Bridgend,19/08/2020,0,578,393.1,269,13661
Bridgend,18/08/2020,0,578,393.1,191,13392
Bridgend,17/08/2020,1,578,393.1,180,13201
Bridgend,16/08/2020,0,577,392.4,61,13021
Bridgend,15/08/2020,0,577,392.4,80,12960
Bridgend,14/08/2020,0,577,392.4,229,12880
Bridgend,13/08/2020,0,577,392.4,156,12651
Bridgend,12/08/2020,0,577,392.4,151,12495
Bridgend,11/08/2020,0,577,392.4,213,12344
Bridgend,10/08/2020,0,577,392.4,139,12131
Bridgend,09/08/2020,0,577,392.4,63,11992
Bridgend,08/08/2020,0,577,392.4,59,11929
Bridgend,07/08/2020,1,577,392.4,208,11870
Bridgend,06/08/2020,0,576,391.7,164,11662
Bridgend,05/08/2020,2,576,391.7,92,11498
Bridgend,04/08/2020,1,574,390.3,140,11406
Bridgend,03/08/2020,1,573,389.7,113,11266
Bridgend,02/08/2020,0,572,389,54,11153
Bridgend,01/08/2020,0,572,389,59,11099
Bridgend,31/07/2020,0,572,389,188,11040
Bridgend,30/07/2020,0,572,389,69,10852
Bridgend,29/07/2020,0,572,389,101,10783
Bridgend,28/07/2020,1,572,389,217,10682
Bridgend,27/07/2020,0,571,388.3,89,10465
Bridgend,26/07/2020,0,571,388.3,55,10376
Bridgend,25/07/2020,0,571,388.3,68,10321
Bridgend,24/07/2020,1,571,388.3,108,10253
Bridgend,23/07/2020,0,570,387.6,174,10145
Bridgend,22/07/2020,0,570,387.6,105,9971
Bridgend,21/07/2020,2,570,387.6,77,9866
Bridgend,20/07/2020,1,568,386.3,80,9789
Bridgend,19/07/2020,0,567,385.6,47,9709
Bridgend,18/07/2020,0,567,385.6,54,9662
Bridgend,17/07/2020,1,567,385.6,106,9608
Bridgend,16/07/2020,1,566,384.9,107,9502
Bridgend,15/07/2020,0,565,384.2,206,9395
Bridgend,14/07/2020,1,565,384.2,86,9189
Bridgend,13/07/2020,0,564,383.5,130,9103
Bridgend,12/07/2020,0,564,383.5,43,8973
Bridgend,11/07/2020,0,564,383.5,86,8930
Bridgend,10/07/2020,2,564,383.5,190,8844
Bridgend,09/07/2020,0,562,382.2,134,8654
Bridgend,08/07/2020,1,562,382.2,239,8520
Bridgend,07/07/2020,0,561,381.5,162,8281
Bridgend,06/07/2020,2,561,381.5,172,8119
Bridgend,05/07/2020,1,559,380.1,45,7947
Bridgend,04/07/2020,0,558,379.5,63,7902
Bridgend,03/07/2020,0,558,379.5,200,7839
Bridgend,02/07/2020,0,558,379.5,86,7639
Bridgend,01/07/2020,1,558,379.5,184,7553
Bridgend,30/06/2020,0,557,378.8,112,7369
Bridgend,29/06/2020,0,557,378.8,88,7257
Bridgend,28/06/2020,0,557,378.8,37,7169
Bridgend,27/06/2020,0,557,378.8,53,7132
Bridgend,26/06/2020,1,557,378.8,104,7079
Bridgend,25/06/2020,0,556,378.1,119,6975
Bridgend,24/06/2020,1,556,378.1,115,6856
Bridgend,23/06/2020,0,555,377.4,124,6741
Bridgend,22/06/2020,1,555,377.4,77,6617
Bridgend,21/06/2020,0,554,376.7,25,6540
Bridgend,20/06/2020,0,554,376.7,53,6515
Bridgend,19/06/2020,0,554,376.7,98,6462
Bridgend,18/06/2020,1,554,376.7,83,6364
Bridgend,17/06/2020,1,553,376.1,93,6281
Bridgend,16/06/2020,4,552,375.4,113,6188
Bridgend,15/06/2020,0,548,372.7,74,6075
Bridgend,14/06/2020,1,548,372.7,62,6001
Bridgend,13/06/2020,0,547,372,46,5939
Bridgend,12/06/2020,1,547,372,201,5893
Bridgend,11/06/2020,2,546,371.3,156,5692
Bridgend,10/06/2020,1,544,369.9,169,5536
Bridgend,09/06/2020,2,543,369.3,91,5367
Bridgend,08/06/2020,0,541,367.9,141,5276
Bridgend,07/06/2020,2,541,367.9,59,5135
Bridgend,06/06/2020,0,539,366.5,75,5076
Bridgend,05/06/2020,4,539,366.5,109,5001
Bridgend,04/06/2020,3,535,363.8,126,4892
Bridgend,03/06/2020,3,532,361.8,163,4766
Bridgend,02/06/2020,1,529,359.7,101,4603
Bridgend,01/06/2020,2,528,359.1,175,4502
Bridgend,31/05/2020,1,526,357.7,59,4327
Bridgend,30/05/2020,0,525,357,52,4268
Bridgend,29/05/2020,1,525,357,131,4216
Bridgend,28/05/2020,2,524,356.3,161,4085
Bridgend,27/05/2020,2,522,355,102,3924
Bridgend,26/05/2020,3,520,353.6,166,3822
Bridgend,25/05/2020,1,517,351.6,66,3656
Bridgend,24/05/2020,0,516,350.9,43,3590
Bridgend,23/05/2020,1,516,350.9,77,3547
Bridgend,22/05/2020,4,515,350.2,155,3470
Bridgend,21/05/2020,2,511,347.5,108,3315
Bridgend,20/05/2020,1,509,346.1,147,3207
Bridgend,19/05/2020,9,508,345.5,152,3060
Bridgend,18/05/2020,3,499,339.3,44,2908
Bridgend,17/05/2020,9,496,337.3,45,2864
Bridgend,16/05/2020,3,487,331.2,50,2819
Bridgend,15/05/2020,2,484,329.1,93,2769
Bridgend,14/05/2020,5,482,327.8,95,2676
Bridgend,13/05/2020,2,477,324.4,56,2581
Bridgend,12/05/2020,4,475,323,91,2525
Bridgend,11/05/2020,9,471,320.3,81,2434
Bridgend,10/05/2020,5,462,314.2,56,2353
Bridgend,09/05/2020,7,457,310.8,97,2297
Bridgend,08/05/2020,3,450,306,44,2200
Bridgend,07/05/2020,6,447,304,50,2156
Bridgend,06/05/2020,3,441,299.9,47,2106
Bridgend,05/05/2020,5,438,297.9,62,2059
Bridgend,04/05/2020,3,433,294.5,41,1997
Bridgend,03/05/2020,1,430,292.4,29,1956
Bridgend,02/05/2020,7,429,291.7,69,1927
Bridgend,01/05/2020,6,422,287,81,1858
Bridgend,30/04/2020,7,416,282.9,63,1777
Bridgend,29/04/2020,7,409,278.1,53,1714
Bridgend,28/04/2020,1,402,273.4,60,1661
Bridgend,27/04/2020,9,401,272.7,62,1601
Bridgend,26/04/2020,9,392,266.6,30,1539
Bridgend,25/04/2020,10,383,260.5,88,1509
Bridgend,24/04/2020,1,373,253.7,42,1421
Bridgend,23/04/2020,4,372,253,40,1379
Bridgend,22/04/2020,22,368,250.3,72,1339
Bridgend,21/04/2020,17,346,235.3,63,1267
Bridgend,20/04/2020,8,329,223.7,33,1204
Bridgend,19/04/2020,2,321,218.3,24,1171
Bridgend,18/04/2020,4,319,216.9,19,1147
Bridgend,17/04/2020,15,315,214.2,53,1128
Bridgend,16/04/2020,12,300,204,45,1075
Bridgend,15/04/2020,19,288,195.9,51,1030
Bridgend,14/04/2020,21,269,182.9,41,979
Bridgend,13/04/2020,9,248,168.7,31,938
Bridgend,12/04/2020,17,239,162.5,32,907
Bridgend,11/04/2020,13,222,151,35,875
Bridgend,10/04/2020,7,209,142.1,27,840
Bridgend,09/04/2020,16,202,137.4,53,813
Bridgend,08/04/2020,15,186,126.5,40,760
Bridgend,07/04/2020,22,171,116.3,56,720
Bridgend,06/04/2020,10,149,101.3,30,664
Bridgend,05/04/2020,12,139,94.5,34,634
Bridgend,04/04/2020,11,127,86.4,31,600
Bridgend,03/04/2020,17,116,78.9,47,569
Bridgend,02/04/2020,19,99,67.3,44,522
Bridgend,01/04/2020,16,80,54.4,58,478
Bridgend,31/03/2020,10,64,43.5,33,420
Bridgend,30/03/2020,5,54,36.7,34,387
Bridgend,29/03/2020,5,49,33.3,22,353
Bridgend,28/03/2020,4,44,29.9,12,331
Bridgend,27/03/2020,5,40,27.2,37,319
Bridgend,26/03/2020,3,35,23.8,27,282
Bridgend,25/03/2020,6,32,21.8,37,255
Bridgend,24/03/2020,8,26,17.7,32,218
Bridgend,23/03/2020,5,18,12.2,16,186
Bridgend,22/03/2020,2,13,8.8,16,170
Bridgend,21/03/2020,4,11,7.5,22,154
Bridgend,20/03/2020,4,7,4.8,21,132
Bridgend,19/03/2020,0,3,2,14,111
Bridgend,18/03/2020,0,3,2,10,97
Bridgend,17/03/2020,0,3,2,15,87
Bridgend,16/03/2020,2,3,2,15,72
Bridgend,15/03/2020,0,1,0.7,5,57
Bridgend,14/03/2020,0,1,0.7,5,52
Bridgend,13/03/2020,1,1,0.7,7,47
Bridgend,12/03/2020,0,0,0,8,40
Bridgend,11/03/2020,0,0,0,8,32
Bridgend,10/03/2020,0,0,0,1,24
Bridgend,09/03/2020,0,0,0,1,23
Bridgend,08/03/2020,0,0,0,0,22
Bridgend,07/03/2020,0,0,0,0,22
Bridgend,06/03/2020,0,0,0,1,22
Bridgend,05/03/2020,0,0,0,0,21
Bridgend,04/03/2020,0,0,0,3,21
Bridgend,03/03/2020,0,0,0,3,18
Bridgend,02/03/2020,0,0,0,0,15
Bridgend,01/03/2020,0,0,0,0,15
Bridgend,29/02/2020,0,0,0,2,15
Bridgend,28/02/2020,0,0,0,1,13
Bridgend,27/02/2020,0,0,0,3,12
Bridgend,26/02/2020,0,0,0,0,9
Bridgend,25/02/2020,0,0,0,0,9
Bridgend,24/02/2020,0,0,0,0,9
Bridgend,23/02/2020,0,0,0,2,9
Bridgend,22/02/2020,0,0,0,2,7
Bridgend,21/02/2020,0,0,0,0,5
Bridgend,20/02/2020,0,0,0,0,5
Bridgend,19/02/2020,0,0,0,0,5
Bridgend,18/02/2020,0,0,0,1,5
Bridgend,17/02/2020,0,0,0,1,4
Bridgend,16/02/2020,0,0,0,0,3
Bridgend,15/02/2020,0,0,0,0,3
Bridgend,14/02/2020,0,0,0,0,3
Bridgend,13/02/2020,0,0,0,0,3
Bridgend,12/02/2020,0,0,0,0,3
Bridgend,11/02/2020,0,0,0,0,3
Bridgend,10/02/2020,0,0,0,0,3
Bridgend,09/02/2020,0,0,0,3,3
Bridgend,08/02/2020,0,0,0,0,0
Bridgend,07/02/2020,0,0,0,0,0
Bridgend,06/02/2020,0,0,0,0,0
